MTA_Service_Request,FromAddress,ToAddress,StreetName,Frontage,starting_meter_number,ending_meter_number,starting_date,ending_date,Days,recurrence_pattern,starttime,endtime,HoursFromDPW,FrequencyCode,AllDay,MTA_Status_Code,Agency,Vehicle_Code_Section,Renewal,Related_DPW_Permit,DPW_Receipt_Number,DBI_Receipt_Number,DBI_Application_Number,BSM_Permit_Number,SignCount,Category_Code,Notes,SpecialCondition,CreatedAt,UpdatedAt
SR00136863,1599,1599,Shrader Street,Shrader Street 26 feet  Side,,,10/10/2014,02/10/2015,Monday - Saturday,1111110,7:00,18:00,MON-SAT 7-6,Daily,False,Approved,DPW,33.1,False,,1341772,1341772,M537167,,0,DPW Street Space,,,11/19/2014 04:00:27 PM,11/19/2014 04:00:27 PM
SR00140231,247,247,Seacliff Avenue,Seacliff Avenue 20 feet  Side,,,01/10/2015,02/10/2015,Monday - Sunday,1111111,7:00,18:00,MON-SUN 7AM-6PM,Daily,False,Approved,DPW,33.1,False,,1345383,1345383,M547627,,0,DPW Street Space,,,01/10/2015 04:00:22 PM,01/10/2015 04:00:22 PM
SR00136834,2699,2699,15th Avenue,Wawona Street 40 feet  Side,,,11/10/2014,02/10/2015,Monday - Saturday,1111110,7:00,18:00,M-SAT 7AM-6PM,Daily,False,Approved,DPW,33.1,False,,1341229,1341229,M535367,,0,DPW Street Space,,,11/19/2014 04:00:24 PM,11/19/2014 04:00:24 PM
SR00141686,760,760,San Jose Avenue,San Jose Avenue 40 feet Even Side,,,02/09/2015,02/10/2015,Monday - Tuesday,1100000,7:00,19:00,,Daily,False,Approved,MTA,33.C,False,,,,,,1,Special Event - Moving,,,01/29/2015 07:30:12 PM,02/05/2015 06:09:45 PM
SR00135198,340,340,Brannan Street,Brannan Street 125 feet Even Side,33003440,33003500,02/10/2015,02/10/2015,Tuesday,0100000,8:00,15:00,,Daily,False,Approved,MTA,33.C,False,,,,,,7,Special Event - Event,,4 metered spaces in front of Building 340 and one non-metered space on Jack London Alley at the corner of Brannan,10/30/2014 10:30:12 PM,11/04/2014 07:06:04 PM
SR00142496,888,888,Brannan Street,Brannan Street 50 feet  Side,,,02/10/2015,02/10/2015,Monday - Friday,1111100,8:00,18:00,TUES 8-6,Daily,False,Approved,DPW,33.1,False,,15TOC-0570,,,15TOC-0570,0,DPW Street Space,,,02/07/2015 04:00:24 PM,02/07/2015 04:00:24 PM
SR00141559,2745,2745,Octavia Street,Octavia Street 40 feet Odd Side,91600880,91600880,02/10/2015,02/10/2015,Tuesday,0100000,7:00,14:00,,Daily,False,Approved,MTA,33.C,False,,,,,,2,Special Event - Moving,"IFO this address- meter is at 2745 Octavia, and also wants a sign IFO 2739-41 where there is not a meter.",IFO this address,01/29/2015 12:30:11 AM,01/29/2015 03:32:15 PM
SR00141289,2200,2299,Lake Street,Lake Street 600 feet Both Side,,,01/29/2015,02/10/2015,Monday - Friday,1111100,7:00,19:00,,Daily,False,Approved,MTA,33.1,False,15EXC-0574,,,,,0,Construction - City Contract,,,01/26/2015 07:30:14 PM,01/26/2015 11:40:32 PM
SR00141694,201,201,Post Street,Post Street 60 feet Odd Side,,,02/10/2015,02/10/2015,Tuesday,0100000,15:30,20:00,,Daily,False,Approved,MTA,33.C,False,,,,,,3,Special Event - Event,,3 metered spaces in front of 201 Post St for loading and unloading of guests.,01/29/2015 08:30:11 PM,01/30/2015 04:36:35 PM
SR00142491,348,348,Greenwich Street,Greenwich Street 25 feet  Side,,,02/10/2015,02/10/2015,Monday - Friday,1111100,8:00,17:00,8AM-5PM,Daily,False,Approved,DPW,33.1,False,,15TOC-0549,,,15TOC-0549,0,DPW Street Space,,,02/07/2015 04:00:24 PM,02/07/2015 04:00:24 PM
